trace_id,endpoint,is_correct,structural_stability,n_bonds,n_entropy_points,initial_entropy,final_entropy,covalent_ratio,hydrogen_ratio,vdw_ratio
0b093e49-4610-4e5d-aa78-5ea7732fdca9,cyp2d6_veith,True,8.93602493573587e-18,253,253,-0.0,1.307310734291553,0.16600790513833993,0.1976284584980237,0.6363636363636364
0e5bde73-b3f6-4034-839c-fdacd433877c,cyp2d6_veith,True,1.7956901922266046e-24,153,153,-0.0,1.3947108808603135,0.1437908496732026,0.3006535947712418,0.5555555555555556
0e966ea4-9f1c-447a-a849-93fab9ac8fda,cyp2d6_veith,True,1.0392154883710231e-20,105,105,-0.0,1.5425529061494014,0.29523809523809524,0.2571428571428571,0.44761904761904764
0f48051c-6b22-4913-a1aa-2bd1842aca4e,cyp2d6_veith,False,8.872616134107175e-05,171,171,-0.0,1.3916467932576213,0.15204678362573099,0.2807017543859649,0.5672514619883041
12bbf68e-d889-473e-918c-4051a445e202,cyp2d6_veith,True,1.868325727588969e-22,300,300,-0.0,1.3773348510536951,0.14333333333333334,0.2833333333333333,0.5733333333333334
1470139a-26e7-4327-bbda-1c6218a5c05d,cyp2d6_veith,True,2.845382694056706e-21,231,231,-0.0,1.2515886114874917,0.16883116883116883,0.1645021645021645,0.6666666666666666
1490c7ab-a97a-4eb0-bed5-410049ffd6d3,cyp2d6_veith,True,1.8073126550703468e-21,253,253,-0.0,1.3956895549168709,0.14624505928853754,0.2964426877470356,0.5573122529644269
1662413c-d1b4-4f52-9235-9928a9852e82,cyp2d6_veith,True,9.29650981735682e-25,300,300,-0.0,1.3234669541469457,0.12,0.28,0.6
166f33f8-39bc-424b-b695-6fe64a2f1a02,cyp2d6_veith,True,0.00016468502690834895,300,300,-0.0,1.275412796903484,0.09,0.30666666666666664,0.6033333333333334
1a5cf3dd-0087-4811-8e7d-9639e1375a3e,cyp2d6_veith,True,8.03649946299543e-21,378,378,-0.0,1.2846531881550018,0.12433862433862433,0.24074074074074073,0.6349206349206349
1b090a53-a7ab-4421-94a2-6d8008a419f4,cyp2d6_veith,True,8.85844679754677e-23,171,171,-0.0,1.2113410896722674,0.09941520467836257,0.23391812865497075,0.6666666666666666
1d9bc727-3d60-4234-a0f8-32f3fc13190b,cyp2d6_veith,True,1.093538842446351e-22,153,153,-0.0,1.335176529151169,0.20261437908496732,0.17647058823529413,0.6209150326797386
216efa4e-54d6-4bb1-95ca-c30de1db21d3,cyp2d6_veith,False,2.3094541484640284e-24,231,231,-0.0,1.312033657615651,0.11255411255411256,0.2857142857142857,0.6017316017316018
25d5e288-704b-46ce-8565-b2bf364784f1,cyp2d6_veith,True,0.0005011877851130362,153,153,-0.0,1.2995794287324292,0.16339869281045752,0.19607843137254902,0.6405228758169934
26a667c5-52ac-4cc7-8a18-ea76730015e7,cyp2d6_veith,True,1.3245617236308617e-20,210,210,-0.0,1.3059768863078354,0.18571428571428572,0.1761904761904762,0.638095238095238
2c64033b-42e7-4206-bea2-df610fe73d67,cyp2d6_veith,False,8.088249804917872e-22,171,171,-0.0,1.311108705776395,0.23391812865497075,0.14035087719298245,0.6257309941520468
2dd8bf82-90c2-47c6-a5a8-4391de5a9b7e,cyp2d6_veith,False,6.8686612518878385e-18,171,171,-0.0,1.2629234012087944,0.16374269005847952,0.17543859649122806,0.6608187134502924
